"results__id","results__createdAt","results__updatedAt","results__displayName","results__name","results__boundaryId","results__theme__thumb","results__theme__image","results__theme__background","results__data","meta__results","meta__total"
"dc","2018-09-12T21:04:57.220Z","2018-11-09T15:57:34.157Z","Washington D.C.","Washington D.C.","usa-dc-district-of-columbia-state","https://res.cloudinary.com/stae/image/fetch/c_lfill,f_png,h_512,w_640/https://flaglane.com/download/washington-dc-flag/washington-dc-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_lfill,f_png,h_1024,w_1280/https://flaglane.com/download/washington-dc-flag/washington-dc-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_lfill,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/washington-dc-flag/washington-dc-flag-large.png","33018","100","180"
"okc-ok","2019-01-28T19:24:23.945Z","2019-01-29T20:24:00.594Z","Oklahoma City","Oklahoma City, OK","usa-ok-oklahoma-city-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/eh7YyHY.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/eh7YyHY.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/eh7YyHY.jpg","19638","",""
"chn-az","2019-01-29T04:41:55.291Z","2019-01-29T20:24:01.218Z","Chandler","Chandler, AZ","usa-az-chandler-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/84gKEID.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/84gKEID.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/84gKEID.jpg","12522","",""
"mar-az","2019-01-29T18:15:07.028Z","2019-01-29T20:24:03.047Z","Maricopa County","Maricopa County, AZ","usa-az-maricopa-county","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/72qJvGu.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/72qJvGu.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/72qJvGu.jpg","666785","",""
"pin-az","2019-01-29T18:15:07.040Z","2019-01-29T20:24:03.183Z","Pinal County","Pinal County, AZ","usa-az-pinal-county","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/r0KSY8b.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/r0KSY8b.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/r0KSY8b.jpg","33263","",""
"ny","2018-07-26T21:35:02.051Z","2019-01-29T20:23:56.011Z","New York","State of New York","usa-ny-new-york-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/new-york-flag/new-york-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/new-york-flag/new-york-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/new-york-flag/new-york-flag-large.png","39965620","",""
"shdy-ny","2018-12-12T16:26:12.167Z","2019-01-29T20:23:57.577Z","Schenectady","Schenectady, NY","usa-ny-schenectady-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/e4YvIE6.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/e4YvIE6.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/e4YvIE6.jpg","717","",""
"nor-ok","2019-01-28T19:24:23.946Z","2019-01-29T20:24:00.415Z","Norman","Norman, OK","usa-ok-norman-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/DZUixL8.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/DZUixL8.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/DZUixL8.jpg","1476","",""
"sjn-pr","2018-11-10T14:43:34.552Z","2019-01-29T20:24:00.859Z","San Juan","San Juan, PR","usa-pr-san-juan-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/BPp4iko.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/BPp4iko.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/BPp4iko.jpg","2807","",""
"sct-az","2019-01-29T04:41:55.692Z","2019-01-29T20:24:01.511Z","Scottsdale","Scottsdale, AZ","usa-az-scottsdale-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/8e82cWR.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/8e82cWR.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/8e82cWR.jpg","56843","",""
"ct","2018-11-10T14:43:34.357Z","2019-01-29T20:23:54.744Z","Connecticut","State of Connecticut","usa-ct-connecticut-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/connecticut-flag/connecticut-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/connecticut-flag/connecticut-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/connecticut-flag/connecticut-flag-large.png","123177","",""
"tem-az","2019-01-29T04:41:55.337Z","2019-01-29T20:24:01.490Z","Tempe","Tempe, AZ","usa-az-tempe-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/DQHCmEc.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/DQHCmEc.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/DQHCmEc.jpg","199319","",""
"ia","2018-11-10T14:43:34.372Z","2019-01-29T20:23:55.191Z","Iowa","State of Iowa","usa-ia-iowa-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/iowa-flag/iowa-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/iowa-flag/iowa-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/iowa-flag/iowa-flag-large.png","68511","",""
"vt","2018-11-10T14:43:34.439Z","2019-01-29T20:23:56.830Z","Vermont","State of Vermont","usa-vt-vermont-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/vermont-flag/vermont-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/vermont-flag/vermont-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/vermont-flag/vermont-flag-large.png","19303","",""
"gil-az","2019-01-29T04:41:55.691Z","2019-01-29T20:24:01.237Z","Gilbert","Gilbert, AZ","usa-az-gilbert-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/5mjE4w9.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/5mjE4w9.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/5mjE4w9.jpg","40077","",""
"gdl-az","2019-01-28T19:24:24.353Z","2019-01-29T20:24:02.648Z","Glendale","Glendale, AZ","usa-az-glendale-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/w5A1Mli.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/w5A1Mli.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/w5A1Mli.jpg","5049","",""
"ak","2018-11-10T14:43:34.338Z","2019-01-29T20:23:54.589Z","Alaska","State of Alaska","usa-ak-alaska-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/alaska-flag/alaska-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/alaska-flag/alaska-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/alaska-flag/alaska-flag-large.png","135274","",""
"de","2018-11-10T14:43:34.357Z","2019-01-29T20:23:54.773Z","Delaware","State of Delaware","usa-de-delaware-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/delaware-flag/delaware-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/delaware-flag/delaware-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/delaware-flag/delaware-flag-large.png","29859","",""
"ca","2018-07-26T21:35:01.915Z","2019-01-29T20:23:54.701Z","California","State of California","usa-ca-california-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/california-flag/california-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/california-flag/california-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/california-flag/california-flag-large.png","7531138","",""
"fl","2018-07-26T21:35:01.798Z","2019-01-29T20:23:54.781Z","Florida","State of Florida","usa-fl-florida-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/florida-flag/florida-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/florida-flag/florida-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/florida-flag/florida-flag-large.png","4454610","",""
"or","2018-11-10T14:43:34.428Z","2019-01-29T20:23:56.530Z","Oregon","State of Oregon","usa-or-oregon-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/oregon-flag/oregon-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/oregon-flag/oregon-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/oregon-flag/oregon-flag-large.png","620063","",""
"ut","2018-11-10T14:43:34.439Z","2019-01-29T20:23:56.915Z","Utah","State of Utah","usa-ut-utah-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/utah-flag/utah-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/utah-flag/utah-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/utah-flag/utah-flag-large.png","516953","",""
"ral-nc","2018-11-10T14:43:34.541Z","2019-01-29T20:24:00.480Z","Raleigh","Raleigh, NC","usa-nc-raleigh-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/6iIT2NT.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/6iIT2NT.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/6iIT2NT.jpg","16783","",""
"anc-ak","2018-11-10T20:05:48.487Z","2019-01-29T20:24:01.462Z","Anchorage","Anchorage, AK","usa-ak-anchorage-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/eO5Csrr.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/eO5Csrr.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/eO5Csrr.jpg","7124","",""
"mesa-az","2019-01-29T04:41:56.514Z","2019-01-29T20:24:02.646Z","Mesa","Mesa, AZ","usa-az-mesa-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/HWDyi6B.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/HWDyi6B.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/HWDyi6B.jpg","296522","",""
"co","2018-07-26T21:35:01.519Z","2019-01-29T20:23:54.738Z","Colorado","State of Colorado","usa-co-colorado-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/colorado-flag/colorado-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/colorado-flag/colorado-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/colorado-flag/colorado-flag-large.png","188428","",""
"ga","2018-10-12T01:18:01.683Z","2019-01-29T20:23:54.967Z","Georgia","State of Georgia","usa-ga-georgia-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/georgia-flag/georgia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/georgia-flag/georgia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/georgia-flag/georgia-flag-large.png","363163","",""
"hi","2018-11-10T14:43:34.357Z","2019-01-29T20:23:55.028Z","Hawaii","State of Hawaii","usa-hi-hawaii-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/hawaii-flag/hawaii-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/hawaii-flag/hawaii-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/hawaii-flag/hawaii-flag-large.png","49288","",""
"ok","2018-11-10T14:43:34.415Z","2019-01-29T20:23:56.180Z","Oklahoma","State of Oklahoma","usa-ok-oklahoma-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/oklahoma-flag/oklahoma-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/oklahoma-flag/oklahoma-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/oklahoma-flag/oklahoma-flag-large.png","101072","",""
"ri","2018-08-31T23:24:57.568Z","2019-01-29T20:23:56.330Z","Rhode Island","State of Rhode Island","usa-ri-rhode-island-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/rhode-island-flag/rhode-island-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/rhode-island-flag/rhode-island-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/rhode-island-flag/rhode-island-flag-large.png","20046","",""
"boul-co","2018-11-10T20:05:48.541Z","2019-01-29T20:24:01.770Z","Boulder","Boulder, CO","usa-co-boulder-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/cEYhgQK.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/cEYhgQK.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/cEYhgQK.jpg","4032","",""
"ar","2018-11-10T14:43:34.346Z","2019-01-29T20:23:54.597Z","Arkansas","State of Arkansas","usa-ar-arkansas-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/arkansas-flag/arkansas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/arkansas-flag/arkansas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/arkansas-flag/arkansas-flag-large.png","44731","",""
"id","2018-11-10T14:43:34.371Z","2019-01-29T20:23:55.048Z","Idaho","State of Idaho","usa-id-idaho-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/idaho-flag/idaho-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/idaho-flag/idaho-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/idaho-flag/idaho-flag-large.png","61597","",""
